player_id,player_name,season_club_name,current_club_name,position,sub_position,role_group,comparison_group,age_at_season_end,minutes_played,current_market_value_in_eur,football_ability_value,predicted_value,valuation_gap,elite_trajectory_probability,positive_signals,negative_signals,guardrails_applied,interpretation,absolute_gap
262749,David Raya,Arsenal FC,Arsenal FC,Goalkeeper,Goalkeeper,Goalkeeper,Goalkeeper,30.688569472963724,3330,35000000.0,34808625.48270442,35000000.0,0.0,0.0,strong clean sheets for Goalkeepers (100th percentile) | meaningful minutes in a title-winning side | heavy league usage: 3330 minutes | major squad role: 97% of team minutes | strong market memory: previous known value was €40.0m,,,David Raya: the model sees him as broadly fairly valued. Final model value is €35.0m.,0.0
192279,Kepa Arrizabalaga,Arsenal FC,Arsenal FC,Goalkeeper,Goalkeeper,Goalkeeper,Goalkeeper,31.638603696098563,90,7000000.0,8300755.861544004,7896199.114151962,896199.1141519621,0.0,low goals conceded for Goalkeepers (8th percentile),low saves for Goalkeepers (8th percentile) | low clean sheets for Goalkeepers (12th percentile) | limited sample/current-season minutes: 90 | small squad role: 3% of team minutes,,Kepa Arrizabalaga: the model sees him as broadly fairly valued. Final model value is €7.9m.,896199.1141519621
435338,Gabriel,Arsenal FC,Arsenal FC,Defender,Centre-Back,Centre-Back,Centre-Back,28.42710472279261,2751,75000000.0,65923911.06279337,75000000.0,0.0,0.0,elite market memory: previous known value was €75.0m | strong blocks for Centre-Backs (89th percentile) | meaningful minutes in a title-winning side | heavy league usage: 2751 minutes | major squad role: 80% of team minutes,,elite non-attacking role floor: €75.0m | final estimate is €9.1m above pure football-ability value,"Gabriel: the model sees him as broadly fairly valued. The raw football-ability estimate was €65.9m, but guardrail logic protected the final valuation at €75.0m.",0.0
495666,William Saliba,Arsenal FC,Arsenal FC,Defender,Centre-Back,Centre-Back,Centre-Back,25.166324435318277,2615,90000000.0,71965279.3040293,82500000.0,-7500000.0,0.8510921834396131,elite market memory: previous known value was €80.0m | elite trajectory probability is high (85%) | meaningful minutes in a title-winning side | heavy league usage: 2615 minutes | major squad role: 76% of team minutes | Transfermarkt has already moved him up from €80.0m,"model likes him, but not enough to fully match current market price (€72.0m vs €90.0m)",elite trajectory floor: €62.0m | elite market sanity floor: €76.5m | elite non-attacking role floor: €80.0m | value-band calibration moved estimate up by €2.5m | final estimate is €10.5m above pure football-ability value,"William Saliba: the model sees him as broadly fairly valued. The raw football-ability estimate was €72.0m, but guardrail logic protected the final valuation at €82.5m.",7500000.0
659813,Piero Hincapié,Arsenal FC,Arsenal FC,Defender,Centre-Back,Centre-Back,Centre-Back,24.369609856262834,1792,50000000.0,26477326.201461628,28245728.263920873,-21754271.736079127,0.4155068126786944,meaningful minutes in a title-winning side | strong market memory: previous known value was €50.0m | long contract runway (5.1 years) | prime-development age profile (24.4),football-ability estimate is well below current market price (€26.5m vs €50.0m) | high own goals for Centre-Backs (88th percentile) | high-value player with limited current PL sample and no previous PL value anchor,value-band calibration moved estimate up by €1.8m,Piero Hincapié: the model sees him as overvalued versus Transfermarkt. Final model value is €28.2m.,21754271.736079127
646750,Cristhian Mosquera,Arsenal FC,Arsenal FC,Defender,Centre-Back,Centre-Back,Centre-Back,21.905544147843944,989,35000000.0,23205369.982187867,24973772.044647112,-10026227.955352888,0.2860383275465725,young age profile (21.9) supports upside | long contract runway (4.1 years),low aerial success for Centre-Backs (6th percentile) | low duel success for Centre-Backs (13th percentile),value-band calibration moved estimate up by €1.8m,Cristhian Mosquera: the model sees him as overvalued versus Transfermarkt. Final model value is €25.0m.,10026227.955352888
502821,Riccardo Calafiori,Arsenal FC,Arsenal FC,Defender,Left-Back,Left-Back,Left-Back,24.01368925393566,1708,50000000.0,36580811.59685688,38349213.65931612,-11650786.340683876,0.4897411411913104,strong aerial success for Left-Backs (95th percentile) | strong duel success for Left-Backs (92th percentile) | meaningful minutes in a title-winning side | Transfermarkt has already moved him up from €35.0m | prime-development age profile (24.0),"model likes him, but not enough to fully match current market price (€36.6m vs €50.0m)",value-band calibration moved estimate up by €1.8m,Riccardo Calafiori: the model sees him as overvalued versus Transfermarkt. Final model value is €38.3m.,11650786.340683876
890721,Myles Lewis-Skelly,Arsenal FC,Arsenal FC,Defender,Left-Back,Left-Back,Left-Back,19.65776865160849,698,40000000.0,37109928.670801714,38878330.73326096,-1121669.2667390406,0.2867554233444789,young age profile (19.7) supports upside | strong market memory: previous known value was €45.0m | long contract runway (4.1 years),limited sample/current-season minutes: 698 | small squad role: 20% of team minutes,value-band calibration moved estimate up by €1.8m,Myles Lewis-Skelly: the model sees him as broadly fairly valued. Final model value is €38.9m.,1121669.2667390406
420243,Jurriën Timber,Arsenal FC,Arsenal FC,Defender,Right-Back,Right-Back,Right-Back,24.933607118412045,2457,70000000.0,55544482.0991272,62000000.0,-8000000.0,0.8375288980954847,elite trajectory probability is high (84%) | strong aerial success for Right-Backs (88th percentile) | meaningful minutes in a title-winning side | major squad role: 72% of team minutes | strong market memory: previous known value was €55.0m | Transfermarkt has already moved him up from €55.0m,"model likes him, but not enough to fully match current market price (€55.5m vs €70.0m)",elite trajectory floor: €42.3m | elite market sanity floor: €59.5m | value-band calibration moved estimate up by €2.5m | final estimate is €6.5m above pure football-ability value,"Jurriën Timber: the model sees him as broadly fairly valued. The raw football-ability estimate was €55.5m, but guardrail logic protected the final valuation at €62.0m.",8000000.0
335721,Ben White,Arsenal FC,Arsenal FC,Defender,Right-Back,Right-Back,Right-Back,28.62422997946612,704,30000000.0,36138559.60436764,36138559.60436764,6138559.604367644,0.0,strong blocks for Right-Backs (87th percentile) | strong market memory: previous known value was €45.0m,limited sample/current-season minutes: 704 | recent market value fell from €45.0m to €30.0m | small squad role: 21% of team minutes,,Ben White: the model sees him as broadly fairly valued. Final model value is €36.1m.,6138559.604367644
423440,Martín Zubimendi,Arsenal FC,Arsenal FC,Midfield,Defensive Midfield,Defensive Midfield,Defensive Midfield,27.30458590006845,3002,50000000.0,38076943.03711138,39845345.099570625,-10154654.900429375,0.0,strong through-ball volume for Defensive Midfields (87th percentile) | meaningful minutes in a title-winning side | heavy league usage: 3002 minutes | major squad role: 88% of team minutes | strong market memory: previous known value was €50.0m | long contract runway (4.1 years),"model likes him, but not enough to fully match current market price (€38.1m vs €50.0m)",value-band calibration moved estimate up by €1.8m,Martín Zubimendi: the model sees him as overvalued versus Transfermarkt. Final model value is €39.8m.,10154654.900429375
148367,Christian Nørgaard,Arsenal FC,Arsenal FC,Midfield,Defensive Midfield,Defensive Midfield,Defensive Midfield,32.205338809034906,101,18000000.0,8255699.295955451,8473606.465184066,-9526393.534815934,0.0,strong recent assist history for Defensive Midfields (88th percentile),low duel success for Defensive Midfields (7th percentile) | low interceptions for Defensive Midfields (8th percentile) | low tackling volume for Defensive Midfields (11th percentile) | low through-ball volume for Defensive Midfields (13th percentile) | limited sample/current-season minutes: 101 | older resale age profile (32.2),,Christian Nørgaard: the model sees him as broadly fairly valued. Final model value is €8.5m.,9526393.534815934
357662,Declan Rice,Arsenal FC,Arsenal FC,Midfield,Central Midfield,Central Midfield,Central Midfield,27.356605065023956,3099,120000000.0,92940212.99434996,120000000.0,0.0,0.0,elite market memory: previous known value was €120.0m | strong chance creation for Central Midfields (97th percentile) | strong recent assist history for Central Midfields (96th percentile) | strong duel success for Central Midfields (95th percentile) | strong long passing volume for Central Midfields (89th percentile) | meaningful minutes in a title-winning side,"high possession losses for Central Midfields (92th percentile) | model likes him, but not enough to fully match current market price (€92.9m vs €120.0m)",established elite status floor: €120.0m | elite non-attacking role floor: €120.0m | final estimate is €27.1m above pure football-ability value,"Declan Rice: the model sees him as broadly fairly valued. The raw football-ability estimate was €92.9m, but guardrail logic protected the final valuation at €120.0m.",0.0
338424,Mikel Merino,Arsenal FC,Arsenal FC,Midfield,Central Midfield,Central Midfield,Central Midfield,29.919233401779604,1027,30000000.0,25599043.22905909,25816950.398287702,-4183049.6017122976,0.0,strong through-ball volume for Central Midfields (100th percentile) | strong chance creation for Central Midfields (89th percentile),low pass completion for Central Midfields (3th percentile),,Mikel Merino: the model sees him as broadly fairly valued. Final model value is €25.8m.,4183049.6017122976
479999,Eberechi Eze,Arsenal FC,Arsenal FC,Midfield,Attacking Midfield,Attacking Midfield,Attacking Midfield,27.90143737166325,1900,65000000.0,47628712.443788305,50128712.443788305,-14871287.556211695,0.0,strong through-ball volume for Attacking Midfields (93th percentile) | strong duel success for Attacking Midfields (91th percentile) | meaningful minutes in a title-winning side | strong market memory: previous known value was €55.0m | Transfermarkt has already moved him up from €55.0m,"model likes him, but not enough to fully match current market price (€47.6m vs €65.0m)",value-band calibration moved estimate up by €2.5m,Eberechi Eze: the model sees him as overvalued versus Transfermarkt. Final model value is €50.1m.,14871287.556211695
316264,Martin Ødegaard,Arsenal FC,Arsenal FC,Midfield,Attacking Midfield,Attacking Midfield,Attacking Midfield,27.433264887063658,1371,75000000.0,58787841.49374588,85000000.0,10000000.0,0.0,elite market memory: previous known value was €85.0m | strong through-ball volume for Attacking Midfields (98th percentile) | strong long passing volume for Attacking Midfields (96th percentile) | strong chance creation for Attacking Midfields (89th percentile) | meaningful minutes in a title-winning side,"model likes him, but not enough to fully match current market price (€58.8m vs €75.0m) | recent market value fell from €85.0m to €75.0m",elite non-attacking role floor: €85.0m | final estimate is €26.2m above pure football-ability value,"Martin Ødegaard: the model sees him as undervalued versus Transfermarkt. The raw football-ability estimate was €58.8m, but guardrail logic protected the final valuation at €85.0m.",10000000.0
890719,Ethan Nwaneri,Arsenal FC,Olympique Marseille,Midfield,Attacking Midfield,Attacking Midfield,Attacking Midfield,19.17590691307324,165,40000000.0,33365962.28701066,35134364.3494699,-4865635.6505301,0.3320974949449654,strong pass completion for Attacking Midfields (89th percentile) | young age profile (19.2) supports upside | strong market memory: previous known value was €55.0m | long contract runway (4.1 years),low duel success for Attacking Midfields (11th percentile) | limited sample/current-season minutes: 165 | recent market value fell from €55.0m to €40.0m | small squad role: 5% of team minutes,value-band calibration moved estimate up by €1.8m,Ethan Nwaneri: the model sees him as broadly fairly valued. Final model value is €35.1m.,4865635.6505301
144028,Leandro Trossard,Arsenal FC,Arsenal FC,Attack,Left Winger,Left Winger,Left Winger,31.468856947296377,2008,20000000.0,32036768.887158584,32036768.887158584,12036768.887158584,0.0,strong recent assist history for Left Wingers (97th percentile) | strong recent goal history for Left Wingers (86th percentile) | meaningful minutes in a title-winning side,shorter contract runway (1.1 years),,Leandro Trossard: the model sees him as undervalued versus Transfermarkt. Final model value is €32.0m.,12036768.887158584
655488,Gabriel Martinelli,Arsenal FC,Arsenal FC,Attack,Left Winger,Left Winger,Left Winger,24.930869267624914,1073,45000000.0,43228439.023394935,52876650.14259483,7876650.142594829,0.6219162535648709,strong shots on target for Left Wingers (97th percentile) | strong shot volume for Left Wingers (89th percentile) | strong recent goal history for Left Wingers (86th percentile) | strong market memory: previous known value was €55.0m | prime-development age profile (24.9),high being dispossessed for Left Wingers (95th percentile) | recent market value fell from €55.0m to €45.0m | shorter contract runway (1.1 years),elite trajectory floor: €52.9m | final estimate is €9.6m above pure football-ability value,"Gabriel Martinelli: the model sees him as broadly fairly valued. The raw football-ability estimate was €43.2m, but guardrail logic protected the final valuation at €52.9m.",7876650.142594829
433177,Bukayo Saka,Arsenal FC,Arsenal FC,Attack,Right Winger,Right Winger,Right Winger,24.71457905544148,2226,130000000.0,96008695.65728398,150000000.0,20000000.0,0.98834791497859,elite market memory: previous known value was €150.0m | strong recent assist history for Right Wingers (97th percentile) | strong shots on target for Right Wingers (96th percentile) | strong duel success for Right Wingers (96th percentile) | elite trajectory probability is high (99%) | strong shot volume for Right Wingers (94th percentile),"model likes him, but not enough to fully match current market price (€96.0m vs €130.0m) | recent market value fell from €150.0m to €130.0m",elite trajectory floor: €126.6m | elite market sanity floor: €110.5m | established elite status floor: €150.0m | final estimate is €54.0m above pure football-ability value,"Bukayo Saka: the model sees him as undervalued versus Transfermarkt. The raw football-ability estimate was €96.0m, but guardrail logic protected the final valuation at €150.0m.",20000000.0
503987,Noni Madueke,Arsenal FC,Arsenal FC,Attack,Right Winger,Right Winger,Right Winger,24.205338809034902,1217,50000000.0,33659558.8476138,35427960.91007304,-14572039.089926958,0.5587397017492148,strong box threat for Right Wingers (100th percentile) | strong chance creation for Right Wingers (94th percentile) | meaningful minutes in a title-winning side | strong market memory: previous known value was €40.0m | Transfermarkt has already moved him up from €40.0m | long contract runway (4.1 years),"model likes him, but not enough to fully match current market price (€33.7m vs €50.0m)",elite trajectory floor: €25.2m | value-band calibration moved estimate up by €1.8m,Noni Madueke: the model sees him as overvalued versus Transfermarkt. Final model value is €35.4m.,14572039.089926958
1187629,Max Dowman,Arsenal FC,Arsenal FC,Attack,Right Winger,Right Winger,Right Winger,16.39425051334702,153,,11157201.143518783,11157201.143518783,,0.0,young age profile (16.4) supports upside,limited sample/current-season minutes: 153 | small squad role: 4% of team minutes | elite trajectory probability is low (0%) for a young player,,Max Dowman cannot be compared because current Transfermarkt value is missing.,
325443,Viktor Gyökeres,Arsenal FC,Arsenal FC,Attack,Centre-Forward,Centre-Forward,Centre-Forward,27.969883641341543,2231,70000000.0,56770192.4810369,59270192.4810369,-10729807.5189631,0.0,strong recent goal history for Centre-Forwards (100th percentile) | elite market memory: previous known value was €75.0m | strong recent assist history for Centre-Forwards (91th percentile) | meaningful minutes in a title-winning side | long contract runway (4.1 years),"model likes him, but not enough to fully match current market price (€56.8m vs €70.0m)",value-band calibration moved estimate up by €2.5m,Viktor Gyökeres: the model sees him as overvalued versus Transfermarkt. Final model value is €59.3m.,10729807.5189631
309400,Kai Havertz,Arsenal FC,Arsenal FC,Attack,Centre-Forward,Centre-Forward,Centre-Forward,26.951403148528406,583,55000000.0,37031131.83983772,43889760.46222316,-11110239.537776845,0.5034673828503974,strong chance creation for Centre-Forwards (93th percentile) | strong box threat for Centre-Forwards (86th percentile) | strong market memory: previous known value was €65.0m,"limited sample/current-season minutes: 583 | model likes him, but not enough to fully match current market price (€37.0m vs €55.0m) | recent market value fell from €65.0m to €55.0m | small squad role: 17% of team minutes",elite trajectory floor: €42.1m | value-band calibration moved estimate up by €1.8m | final estimate is €6.9m above pure football-ability value,"Kai Havertz: the model sees him as overvalued versus Transfermarkt. The raw football-ability estimate was €37.0m, but guardrail logic protected the final valuation at €43.9m.",11110239.537776845
363205,Gabriel Jesus,Arsenal FC,Arsenal FC,Attack,Centre-Forward,Centre-Forward,Centre-Forward,29.13894592744695,421,20000000.0,22236105.065958012,22236105.065958012,2236105.065958012,0.0,strong shots on target for Centre-Forwards (100th percentile) | strong box threat for Centre-Forwards (99th percentile) | strong shot volume for Centre-Forwards (96th percentile),high being dispossessed for Centre-Forwards (95th percentile) | limited sample/current-season minutes: 421 | recent market value fell from €32.0m to €20.0m | small squad role: 12% of team minutes | shorter contract runway (1.1 years),,Gabriel Jesus: the model sees him as broadly fairly valued. Final model value is €22.2m.,2236105.065958012
