season,player_id,player_name,position,sub_position,age_at_season_end,minutes_played,previous_known_market_value_in_eur,previous_weighted_minutes,previous_weighted_goals,previous_weighted_assists,team_points,team_goal_difference,team_final_position,team_won_league,player_minutes_share,market_value_in_eur,predicted_value,residual,absolute_error,actual_value_m,predicted_value_m,residual_m,absolute_error_m,error_direction,value_band,minutes_band,age_band
2024,445939,Omar Marmoush,Attack,Centre-Forward,26.2943189596167,1183,22000000.0,2197.3,11.2,5.4,71,28,3,0,0.345906432748538,75000000.0,25607315.858081173,49392684.14191882,49392684.14191882,75.0,25.607315858081172,49.39268414191882,49.39268414191882,model_too_low,€60m+,900–1799,"[26, 29)"
2024,890721,Myles Lewis-Skelly,Defender,Left-Back,18.6611909650924,1371,2000000.0,,,,74,35,2,0,0.40087719298245617,45000000.0,6000000.0,39000000.0,39000000.0,45.0,6.0,39.0,39.0,model_too_low,€30–60m,900–1799,"[16, 20)"
2024,349066,Alexander Isak,Attack,Centre-Forward,25.675564681724847,2774,75000000.0,2790.0,23.0,2.0,66,21,5,0,0.8111111111111111,120000000.0,85360115.89049183,34639884.10950817,34639884.10950817,120.0,85.36011589049183,34.63988410950817,34.63988410950817,model_too_low,€60m+,1800+,"[23, 26)"
2024,890719,Ethan Nwaneri,Midfield,Attacking Midfield,18.17932922655715,889,8000000.0,13.0,0.0,0.0,74,35,2,0,0.25994152046783625,55000000.0,20615068.53801525,34384931.46198475,34384931.46198475,55.0,20.61506853801525,34.384931461984756,34.384931461984756,model_too_low,€30–60m,450–899,"[16, 20)"
2024,357565,Rodri,Midfield,Defensive Midfield,28.922655715263517,73,120000000.0,3948.4,9.0,12.9,71,28,3,0,0.021345029239766083,110000000.0,77836002.09792581,32163997.902074188,32163997.902074188,110.0,77.83600209792581,32.163997902074186,32.163997902074186,model_too_low,€60m+,Under 450,"[26, 29)"
2024,315969,Scott McTominay,Midfield,Central Midfield,28.459958932238195,17,32000000.0,2524.0,9.0,2.5,42,-10,15,0,0.004970760233918129,50000000.0,17891840.03164643,32108159.96835357,32108159.96835357,50.0,17.89184003164643,32.10815996835357,32.10815996835357,model_too_low,€30–60m,Under 450,"[26, 29)"
2024,610442,Rasmus Højlund,Attack,Centre-Forward,22.302532511978097,2014,65000000.0,2853.5,15.5,2.0,42,-10,15,0,0.5888888888888889,35000000.0,66573272.32732494,-31573272.32732494,31573272.32732494,35.0,66.57327232732494,-31.573272327324943,31.573272327324943,model_too_high,€30–60m,1800+,"[20, 23)"
2024,444523,Lucas Paquetá,Midfield,Attacking Midfield,27.742642026009584,2385,65000000.0,3222.6,7.2,6.5,43,-16,14,0,0.6973684210526315,28000000.0,57975246.391333684,-29975246.391333684,29975246.391333684,28.0,57.975246391333684,-29.975246391333684,29.975246391333684,model_too_high,€15–30m,1800+,"[26, 29)"
2024,763079,Abdukodir Khusanov,Defender,Centre-Back,21.234770704996578,504,2500000.0,815.15,0.0,0.0,71,28,3,0,0.14736842105263157,35000000.0,7500000.0,27500000.0,27500000.0,35.0,7.5,27.5,27.5,model_too_low,€30–60m,450–899,"[20, 23)"
2024,466805,Nico González,Midfield,Defensive Midfield,23.38945927446954,764,15000000.0,1428.5,1.4,0.7,71,28,3,0,0.22339181286549709,40000000.0,15300737.610318398,24699262.3896816,24699262.3896816,40.0,15.300737610318398,24.6992623896816,24.6992623896816,model_too_low,€30–60m,450–899,"[23, 26)"
2024,536835,Amad Diallo,Attack,Right Winger,22.872005475701577,1903,18000000.0,429.0,1.5,1.0,42,-10,15,0,0.5564327485380117,45000000.0,21294042.284687143,23705957.715312857,23705957.715312857,45.0,21.294042284687144,23.705957715312856,23.705957715312856,model_too_low,€30–60m,1800+,"[20, 23)"
2024,478573,Ryan Gravenberch,Midfield,Defensive Midfield,23.025325119780973,3169,35000000.0,1469.6,3.1,0.8,84,45,1,1,0.9266081871345029,75000000.0,52131066.79691741,22868933.20308259,22868933.20308259,75.0,52.13106679691741,22.86893320308259,22.86893320308259,model_too_low,€60m+,1800+,"[23, 26)"
2024,503743,Morgan Rogers,Midfield,Attacking Midfield,22.830937713894592,3131,15000000.0,686.0,3.0,1.0,66,7,6,0,0.9154970760233918,55000000.0,32426957.74966721,22573042.25033279,22573042.25033279,55.0,32.42695774966721,22.57304225033279,22.57304225033279,model_too_low,€30–60m,1800+,"[20, 23)"
2024,294057,James Maddison,Midfield,Attacking Midfield,28.501026694045173,1817,70000000.0,2162.5,4.0,9.0,38,-1,17,0,0.5312865497076024,42000000.0,64522026.20175286,-22522026.201752856,22522026.201752856,42.0,64.52202620175285,-22.522026201752855,22.522026201752855,model_too_high,€30–60m,1800+,"[26, 29)"
2024,614258,Levi Colwill,Defender,Centre-Back,22.24229979466119,3150,50000000.0,1851.0,1.0,1.0,69,21,4,0,0.9210526315789473,55000000.0,76773705.96512097,-21773705.96512097,21773705.96512097,55.0,76.77370596512097,-21.77370596512097,21.77370596512097,model_too_high,€30–60m,1800+,"[20, 23)"
2024,805714,Renato Veiga,Defender,Centre-Back,21.82340862422998,176,3000000.0,574.2,0.0,0.0,69,21,4,0,0.05146198830409357,25000000.0,4121261.7609792408,20878738.239020757,20878738.239020757,25.0,4.121261760979241,20.87873823902076,20.87873823902076,model_too_low,€15–30m,Under 450,"[20, 23)"
2024,866246,Lucas Bergvall,Midfield,Central Midfield,19.307323750855577,1205,10000000.0,,,,38,-1,17,0,0.35233918128654973,38000000.0,18333332.750480585,19666667.249519415,19666667.249519415,38.0,18.333332750480587,19.666667249519413,19.666667249519413,model_too_low,€30–60m,900–1799,"[16, 20)"
2024,701057,Rico Lewis,Defender,Right-Back,20.50650239561944,1893,38000000.0,1429.9,2.0,3.5,71,28,3,0,0.5535087719298246,40000000.0,59138913.072759606,-19138913.072759606,19138913.072759606,40.0,59.13891307275961,-19.138913072759607,19.138913072759607,model_too_high,€30–60m,1800+,"[20, 23)"
2024,568177,Cole Palmer,Midfield,Attacking Midfield,23.052703627652292,3200,80000000.0,2893.9,23.3,12.0,69,21,4,0,0.935672514619883,120000000.0,101504410.93125333,18495589.06874667,18495589.06874667,120.0,101.50441093125333,18.49558906874667,18.49558906874667,model_too_low,€60m+,1800+,"[23, 26)"
2024,602105,Antony,Attack,Right Winger,25.248459958932237,135,25000000.0,1688.0,2.0,1.5,42,-10,15,0,0.039473684210526314,35000000.0,16731604.044831937,18268395.95516806,18268395.95516806,35.0,16.731604044831936,18.26839595516806,18.26839595516806,model_too_low,€30–60m,Under 450,"[23, 26)"
2024,316264,Martin Ødegaard,Midfield,Attacking Midfield,26.43668720054757,2332,110000000.0,3936.0,10.0,11.0,74,35,2,0,0.6818713450292397,85000000.0,103232745.15358385,-18232745.153583854,18232745.153583854,85.0,103.23274515358385,-18.232745153583853,18.232745153583853,model_too_high,€60m+,1800+,"[26, 29)"
2024,620322,Malo Gusto,Defender,Right-Back,22.01779603011636,1858,35000000.0,1961.0,0.0,7.5,69,21,4,0,0.5432748538011696,35000000.0,52955966.320453696,-17955966.320453696,17955966.320453696,35.0,52.9559663204537,-17.955966320453697,17.955966320453697,model_too_high,€30–60m,1800+,"[20, 23)"
2024,324358,Ollie Watkins,Attack,Centre-Forward,29.401779603011637,2610,65000000.0,3364.8,20.2,13.0,66,7,6,0,0.7631578947368421,40000000.0,57435343.93183217,-17435343.931832172,17435343.931832172,40.0,57.43534393183217,-17.435343931832172,17.435343931832172,model_too_high,€30–60m,1800+,"[29, 32)"
2024,433177,Bukayo Saka,Attack,Right Winger,23.718001368925393,1736,140000000.0,3742.0,20.0,13.4,74,35,2,0,0.5076023391812865,150000000.0,132902993.14437163,17097006.85562837,17097006.85562837,150.0,132.90299314437164,17.097006855628372,17.097006855628372,model_too_low,€60m+,900–1799,"[23, 26)"
2024,648195,Enzo Fernández,Midfield,Central Midfield,24.35044490075291,2949,75000000.0,2438.0,4.0,2.5,69,21,4,0,0.862280701754386,75000000.0,91779229.16455197,-16779229.164551973,16779229.164551973,75.0,91.77922916455198,-16.779229164551975,16.779229164551975,model_too_high,€60m+,1800+,"[23, 26)"
2024,241641,Bernardo Silva,Midfield,Attacking Midfield,30.78986995208761,2668,70000000.0,3433.1,9.4,9.5,71,28,3,0,0.7801169590643274,38000000.0,54429270.14701483,-16429270.147014827,16429270.147014827,38.0,54.429270147014826,-16.429270147014826,16.429270147014826,model_too_high,€30–60m,1800+,"[29, 32)"
2024,743591,Savinho,Attack,Left Winger,21.12251882272416,1772,50000000.0,2947.35,9.35,9.5,71,28,3,0,0.5181286549707602,50000000.0,66089569.8905681,-16089569.8905681,16089569.8905681,50.0,66.0895698905681,-16.0895698905681,16.0895698905681,model_too_high,€30–60m,900–1799,"[20, 23)"
2024,648046,Evan Ferguson,Attack,Centre-Forward,20.5968514715948,388,50000000.0,1604.2,6.0,0.5,61,7,8,0,0.11345029239766082,25000000.0,41078092.954732925,-16078092.954732925,16078092.954732925,25.0,41.078092954732924,-16.078092954732924,16.078092954732924,model_too_high,€15–30m,Under 450,"[20, 23)"
2024,583255,Antoine Semenyo,Attack,Right Winger,25.37987679671458,3210,10000000.0,2161.0,8.0,2.0,56,12,9,0,0.9385964912280702,40000000.0,23987996.495544754,16012003.504455246,16012003.504455246,40.0,23.987996495544753,16.012003504455247,16.012003504455247,model_too_low,€30–60m,1800+,"[23, 26)"
2024,655488,Gabriel Martinelli,Attack,Left Winger,23.93429158110883,2299,70000000.0,2557.0,8.0,5.0,74,35,2,0,0.6722222222222223,55000000.0,70965310.64353532,-15965310.643535316,15965310.643535316,55.0,70.96531064353532,-15.965310643535316,15.965310643535316,model_too_high,€30–60m,1800+,"[23, 26)"
